Downloaded from FDA Inventory of Effective Food Contact Substance (FCS) Notifications; http://www.hfpappexternal.fda.gov/scripts/fdcc/?set=FCN; Last updated 2/28/2025; downloaded 3/31/2025.

"According to Section 409(h)(1)(C) of the FFDCA, food contact substance notifications (FCNs) are effective only for the listed manufacturer and its customers. Other manufacturers must submit their own FCN for the same food contact substance & intended use."

FCN No,Message,Addl Info description,Addl Info details,Addl Info details 2,Addl Info details 3,Food Contact Substance,FCS REPLACED BY,Notifier,Manufacturer Supplier,Intended Use,Limitations Specifications,Effective Date,NEPA Submission,FDA Decision for NEPA
=T("1"),,,,,," Silver sodium hydrogen zirconium phosphate, rhombohedral framework structure, of the general formula Ag<sub>x</sub>Na<sub>y</sub>H<sub>z</sub>Zr<sub>2</sub>(PO<sub>4</sub>)<sub>3</sub> with x=(0.1-0.5); y=(0.1-0.8); z=(0.1-0.8)",," Milliken & Company"," Toagosei Company, Ltd."," Antimicrobial additive for polymeric food-contact materials"," For use only at levels not to exceed 2% by weight of the polymer. Conditions of use are limited to those for which the polymer has been established as safe with a silver content not to exceed 10% by weight of the compound.",03/01/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("2"),,,,,," GENOX<sup>TM</sup> EP, chemically identified as Amines, bis(hydrogenated rape-oil alkyl)methyl, N-oxides (CAS Reg. No. 204933-93-7)",," Addivant"," Addivant"," An antioxidant and/or stabilizer"," For use only at levels not to exceed 0.1 weight percent polypropylene complying with 21 CFR 177.1520. The finished copolymers may be safely used in single-use as well as repeated-use applications involving contact with food of types I, II, IV-B, VI, VII-B, and VIII, under Conditions of Use B through H, as described in Tables 1 and 2",03/09/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("3"),,,,,," Styrene-acrylic copolymers produced by polymerizing a minimum of 72 parts by weight of styrene with a minimum of 4 parts of methyl methacrylate and with up to 10 parts total of any one or more of the following monomers: butyl methacrylate, methacrylic acid, butyl acrylate, acrylic acid and allyl methacrylate",," Rohm and Haas Company"," Rohm and Haas Company"," As components of coatings for paper and paperboard in compliance with 21 CFR 176.170(b)"," For use at levels not to exceed 20 percent by weight of the total coating solids.",03/09/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("4"),,,,,," Isophthalic acid or dimethyl isophthalate",," BP Amoco"," INEOS Joliet LLC"," As a monomer in the manufacture of ethylene terephthalate - isophthalate copolymers"," The finished copolymers must contain from 3 to 17 weight percent ethylene isophthalate units. The finished copolymers must also meet specifications in 21 CFR 177.1630(f) - (j) appropriate to their intended use.",03/15/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("5"),,,,,," Polybutadiene - graft - poly(methyl acrylate- co-acrylonitrile) (CAS Reg. No. 27012-62-0)",," INEOS USA LLC"," INEOS USA LLC"," Fabricating beverage containers"," Nitrile rubber modified acrylonitrile-methyl acrylate copolymers consist of 8 to 10.5 percent by weight of butadiene-acrylonitrile copolymers containing approximately 70 percent by weight of polymer units derived from butadiene. Adjuvant substances permitted for use in copolymers complying with 177.1480 may be used in the subject copolymers. The finished copolymers must meet any applicable specifications prescribed in 21 CFR 177.1480 and may be safely used as components of articles intended for food-contact use only under Conditions of Use E and F as described in Table 2. Paragraph 177.1480(d) not withstanding, the finished copolymers are authorized for use in fabricating bottles intended as containers for beverages as defined in 21 CFR 170.3(n)(3), (7) only under Conditions of Use E and F, (16), (35) and (36), with exception of soft drinks and coffee substitutes. The finished copolymers are to meet the following specifications: 1. residual acrylonitrile monomer content not more than 4 parts per million as determined by gas chromatography, 2. melt index in the range 2 to 6 grams per 10 minutes as determined by ASTM method D 1238-95 under the conditions 200 degrees C, 27.5 pounds, 0.0824 inches diameter x 0.3145 inches length.",03/14/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("6"),,,,,," Completely hydrolyzed copolymer of acrylonitrile and trivinylcyclohexane ion-exchange resin (CAS Reg. No. 109961-42-4)",," Rohm and Haas Company"," DDP Specialty Electronic Materials US 5, LLC"," Treating potable water"," Adjuvant substances permitted for use in ion-exchange resins complying with 21 CFR 173.25 may be used in the subject ion-exchange resin subject to any limitations in the authorizing regulation or notification. The finished ion-exchange resin must meet any applicable specifications prescribed in 21 CFR 173.25",03/17/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("7"),,,,,," Woven wool felt",," Applied Fabric Technologies, Inc."," Applied Fabric Technologies, Inc."," As a component of conveyor belts in contact with raw dough bakery products such as bread and croissants"," None",03/21/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("8"),,,,,," Ethylene terephthalate-2,6-naphthalate copolymers",," Shell Chemicals Company"," Far Eastern New Century Corporation APG Polytech LLC"," As the base sheet or base polymer for manufacturing food contact articles"," The finished compolymers may contain from 0 to 50 weight percent of the polymer units derived from ethylene-2,6-naphthalate. The finished copolymers must meet any applicable specifications in 21 CFR 177.1630 appropriate to their intended use. The finished copolymers are prepared by the condensation of dimethyl terephthalate or terephthalic acid and imethyl-2,6-naphthalenedicarboxylate or 2,6-naphthalenedicarboxylic acid with ethylene glycol and are used as the base sheet or base polymer for manufacturing articles and films intended to contact all food types under Conditions of Use A through H as described in Table 2. Adjuvant substances permitted for use in polymers complying with 21 CFR 177.1630 may be used in the subject copolymers subject to any limitations in the authorizing regulation or notification.",03/23/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)/EA Supplement"
=T("9"),,,,,," Poly(oxy-1,2-ethanediyloxycarbonyl-2,6 -naphthalanedicarbonyl) homopolymer and copolymers with ethylene terephthalate",," Shell Chemicals Company"," Far Eastern New Century Corporation APG Polytech LLC"," As articles and films or components of articles and films in contact with food"," The finished compolymers may contain up to 50 weight percent of the polymer units derived from ethylene terephthalate. The finished homopolymer and copolymer must meet any applicable specifications in 21 CFR 177.1630 appropriate for their intended use. The finished homopolymer is prepared by condensation of dimethyl-2,6-naphthalenedicarboxylate or 2,6-naphthalenedicarboxylic acid with ethylene glycol. The finished copolymers are prepared by the condensation of dimethyl-2,6-naphthalenedicarboxylate or 2,6-naphthalenedicarboxylic acid and dimethyl terephthalate or terephthalic acid with ethylene glycol and are used as components of articles and films in contact with all food types under Conditions of Use A through H as described in Table 2. Adjuvant substances permitted for use in polymers complying with 21 CFR 177.1630 may be used in the subject copolymers subject to any limitations in the authorizing regulation or notification.",03/23/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)/EA Supplement"
=T("10"),,,,,," Pyromellitic dianhydride",," Sekisui Plastics, Ltd."," Sekisui Plastics, Ltd."," As a modifier for ethylene terephthalate copolymers identified in 21 CFR 177.1630(e)(4)(i), item 2, and complying with all applicable provisions of 21 CFR 177.1630"," The level of pyromellitic dianhydride shall not exceed 0.5% by weight of the finished copolymer. Notwithstanding the limitations in 21 CFR 177.1630(e)(4)(i) item 2, for pyromellitic dianhydride modified polymers, the polymers that are the subject of this notification may be used without time or temperature limitations.",03/29/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
