表格,FCA编号,中文名称,CAS号,使用范围和最大使用量/%,SML/QM/(mg/kg),SML(T)/(mg/kg),SML(T),分组编号,其他要求
A1,FCA0001,"(1,1-二甲基乙基 )-4-甲氧基苯酚 ;叔丁基羟基茴香醚 (BHA)",25013-16-5,"PE,PP,PS,AS,ABS,PA,PET,PC,PVC,PVDC,UP:0.1",30(SML),,,,
A1,FCA0003,"(1,1-联苯基 )-4,4'-二醇与 1,1'-磺酰双 (4-氯苯 )的聚合物",25608-64-4,PEI:按生产需要适量使用,"6[(1,1-联苯基 )-4,4'-二醇 :SML];0.05(4,4'-二氯二苯砜 :SML)",,,,
A1,FCA0004,"(1R,2R,3S,4S)-rel-二环 [2.2.1]庚 -2,3-二羧酸二钠盐",351870-33-2,"PP,PE:0.25",5(SML),,,,
A1,FCA0005,"(1R,2S)-rel-1,2-环己烷二甲酸钙盐 (1∶1)",491589-22-1,聚烯烃 :0.25,5(SML),,,,
A1,FCA0007,(2-羟基 -4-甲氧基苯基 )(2-羟苯基 )甲酮,131-53-3,"PP,PE,PET:0.3",6,8,,,
A1,FCA0008,(2-羟基 -4-甲氧基苯基 )苯基甲酮,131-57-7,"PE,ABS,PET:0.3",6,8,,,
A1,FCA0009,"(3,5-二叔丁基 -4-羟基苯基 )丙酸草酰 (二亚氨基 -2,1-亚乙基酯 )",70331-94-1,"PP,PE,PS:0.5",,,,,
A1,FCA0010,"(35%~45%w/w)1,6-二氨基 -2,2,4-三甲基己烷和 (55%~65%w/w)1,6-二氨基 -2,4,4-三甲基己烷的混合物",25513-64-8,PA:按生产需要适量使用,"0.05(2,2,4-三甲基 -1,6-己二胺与 2,4,4-三甲基 -1,6-己二胺 :SML)",,,,
A1,FCA0012,(C16~C18、C18-不饱和酸 )甘油酯,67701-30-8,"ABS,AS,PA,PC,PE,PET,PP,PS,PVC,PVDC,UP:按生产需要适量使用",,,,,
A1,FCA0013,"(E,E )-2,4-己二烯酸",110-44-1,"PE,PP,PS,ABS,AS,PA,PET,PC,PVC:按生产需要适量使用",,,,,
A1,FCA0014,(Z )-2-丁烯二酸与 2-丙烯酸的聚合物,29132-58-9,按生产需要适量使用  30(以马来酸计 );6(以丙烯酸计 ) 3;22,,,,,
A1,FCA0015,"(Z )-9-十八烯酸 -2-硫乙基酯与二氯二甲基锡 ,硫化钠和三氯甲基锡的反应产物",68442-12-6,"PP,PE,PS,PVC,PA,PC,ABS,AS,PET,UP:按生产需要适量使用",0.18,9,,,
