FCM and Articles Regulation, Annex I - Authorised Substances
Note: Group entries are split in different rows.
Export date: 12/03/2025 10:41:38
Header

"Substance Identifier"	""	



""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"Name"	"EC No."	"CAS No."	"Name"	"CAS"	"FCM No"	"Ref No."	"Additive or PPA"	"Use as monomer/macromolecule"	"FRF applicable"	"SML (mg/kg)"	"SML(T) Group Restriction No"	"SML(T) Group FCM substances"	"SML(T) (mg/kg)"	"Restriction(s)"	"Notes on verification"	"Notes"	"Physical form"	"Expressed As"	
"(1,3-phenylenedioxy)diacetic acid"	"203-027-8"	"102-39-6"	"(1,3-phenylenedioxy)diacetic acid"	"102-39-6"	"202"	"23070"	"no"	"yes"	"no"	"0.05 mg/kg"	""	""	""	""	""	""	""	""	
"(1,3:2,4) diparamethyldibenylidene sorbitol"	"617-241-8"	"81541-12-0"	"(1,3:2,4) diparamethyldibenylidene sorbitol"	"81541-12-0"	"752"	"39890"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"(2-carbobutoxyethyl)tin-tris(isooctyl mercaptoacetate)"	"264-144-8"	"63438-80-2"	"(2-carbobutoxyethyl)tin-tris(isooctyl mercaptoacetate)"	"63438-80-2"	"711"	"42000"	"yes"	"no"	"yes"	"30 mg/kg"	""	""	""	""	""	""	""	""	
"(butadiene, ethyl acrylate, methyl methacrylate, styrene) copolymer crosslinked with 1,3-butanediol dimethacrylate"	"-"	"-"	"(butadiene, ethyl acrylate, methyl methacrylate, styrene) copolymer crosslinked with 1,3-butanediol dimethacrylate"	""	"1043"	""	"yes"	"no"	"no"	""	""	""	""	"Only to be used as particles in non-plasticised PVC up to 10 % w/w in contact with all food types at room temperature or below including long- term storage.When used together with the substance with FCM No 859 and/or the substance with FCM No 998, the restriction of 10 % w/w applies to the sum of those substances.The diameter of particles shall be &gt; 20 nm, and for at least 95 % by number it shall be &gt; 40 nm."	""	""	"in nanoform"	""	
"(butadiene, ethyl acrylate, methyl methacrylate, styrene) copolymer crosslinked with divinylbenzene"	"-"	"-"	"(butadiene, ethyl acrylate, methyl methacrylate, styrene) copolymer crosslinked with divinylbenzene"	""	"859"	""	"yes"	"no"	"no"	""	""	""	""	"Only to be used as particles in non-plasticised PVC up to 10 % w/w in contact with all food types at room temperature or below including long- term storage.When used together with the substance with FCM No 998 and/or the substance with FCM No 1043, the restriction of 10 % w/w applies to the sum of those substances.The diameter of particles shall be &gt; 20 nm, and for at least 95 % by number it shall be &gt; 40 nm."	""	""	"in nanoform"	""	
"(butadiene, ethyl acrylate, methyl methacrylate, styrene) copolymer not cross-linked"	"-"	"-"	"(butadiene, ethyl acrylate, methyl methacrylate, styrene) copolymer not cross-linked"	""	"998"	""	"yes"	"no"	"no"	""	""	""	""	"Only to be used as particles in non-plasticised PVC up to 10 % w/w in contact with all food types at room temperature or below including long- term storage.When used together with the substance with FCM No 859 and/or the substance with FCM No 1043, the restriction of 10 % w/w applies to the sum of those substances.The diameter of particles shall be &gt; 20 nm, and for at least 95 % by number it shall be &gt; 40 nm."	""	""	"in nanoform"	""	
"(butadiene, styrene, methyl methacrylate) copolymer cross-linked with 1,3-butanediol dimethacrylate"	"-"	"-"	"(butadiene, styrene, methyl methacrylate) copolymer cross-linked with 1,3-butanediol dimethacrylate"	""	"855"	"40560"	"yes"	"no"	"no"	""	""	""	""	"Only to be used in rigid poly(vinyl chloride) (PVC) at a maximum level of 12 % at room temperature or below."	""	""	""	""	
"(butyl acrylate, methyl methacrylate) copolymer, cross-linked with allyl methacrylate"	"-"	"-"	"(butyl acrylate, methyl methacrylate) copolymer, cross-linked with allyl methacrylate"	""	"866"	"40620"	"yes"	"no"	"no"	""	""	""	""	"Only to be used in rigid poly(vinyl chloride) (PVC) at a maximum level of 7 %."	""	""	""	""	
"(butyl acrylate, methyl methacrylate, butyl methacrylate) copolymer"	"607-698-1"	"25322-99-0"	"(butyl acrylate, methyl methacrylate, butyl methacrylate) copolymer"	"25322-99-0"	"865"	"40619"	"yes"	"no"	"no"	""	""	""	""	"Only to be used in: (a) rigid poly(vinyl chloride) (PVC) at a maximum level of 1 % w/w. (b) polylactic acid (PLA) at a maximum level of 5 % w/w."	""	""	""	""	
